,ID,Clothing ID,Age,Rating,Division Name,Department Name,Class Name,USER ID,New Clothing ID
477,477,984,42,5,General,Jackets,Jackets,340,137
478,478,1008,24,4,General,Bottoms,Skirts,341,146
479,479,841,43,4,General Petite,Tops,Blouses,257,82
480,480,1104,51,3,General,Dresses,Dresses,97,50
481,481,850,39,5,General Petite,Tops,Blouses,77,84
482,482,1081,39,5,General,Dresses,Dresses,48,31
483,483,833,39,4,General,Tops,Blouses,114,75
484,484,850,57,4,General Petite,Tops,Blouses,342,84
485,485,862,35,4,General Petite,Tops,Knits,111,90
486,486,1078,46,5,General,Dresses,Dresses,343,28
487,487,850,51,5,General Petite,Tops,Blouses,344,84
488,488,850,39,5,General Petite,Tops,Blouses,77,84
489,489,831,55,5,General,Tops,Blouses,21,74
490,490,833,42,5,General,Tops,Blouses,277,75
491,491,984,40,4,General,Jackets,Jackets,325,137
492,492,1078,31,4,General,Dresses,Dresses,20,28
493,493,1104,39,5,General,Dresses,Dresses,48,50
494,494,1081,59,5,General,Dresses,Dresses,292,31
495,495,833,53,4,General,Tops,Blouses,122,75
496,496,850,41,5,General Petite,Tops,Blouses,260,84
497,497,1078,49,5,General,Dresses,Dresses,5,28
498,498,850,33,3,General Petite,Tops,Blouses,126,84
499,499,1078,36,2,General,Dresses,Dresses,221,28
500,500,850,29,3,General Petite,Tops,Blouses,80,84
501,501,850,49,4,General Petite,Tops,Blouses,345,84
502,502,1078,39,5,General,Dresses,Dresses,48,28
504,504,850,57,5,General Petite,Tops,Blouses,342,84
505,505,833,56,4,General,Tops,Blouses,166,75
506,506,1078,51,3,General,Dresses,Dresses,97,28
507,507,850,58,5,General Petite,Tops,Blouses,347,84
508,508,1078,67,4,General,Dresses,Dresses,348,28
509,509,1078,36,5,General,Dresses,Dresses,221,28
510,510,850,27,5,General Petite,Tops,Blouses,349,84
512,512,1078,49,5,General,Dresses,Dresses,5,28
513,513,850,49,3,General Petite,Tops,Blouses,345,84
514,514,1081,35,5,General Petite,Dresses,Dresses,143,31
515,515,833,60,5,General,Tops,Blouses,198,75
516,516,1081,53,5,General Petite,Dresses,Dresses,10,31
517,517,850,38,4,General Petite,Tops,Blouses,63,84
518,518,850,48,2,General Petite,Tops,Blouses,68,84
519,519,850,37,5,General Petite,Tops,Blouses,351,84
520,520,984,42,5,General,Jackets,Jackets,340,137
521,521,850,50,4,General Petite,Tops,Blouses,352,84
522,522,1104,41,5,General,Dresses,Dresses,243,50
523,523,1104,39,1,General,Dresses,Dresses,48,50
524,524,1104,26,5,General,Dresses,Dresses,306,50
525,525,1078,25,5,General,Dresses,Dresses,214,28
526,526,850,34,5,General Petite,Tops,Blouses,249,84
527,527,850,25,5,General Petite,Tops,Blouses,353,84
528,528,984,31,3,General,Jackets,Jackets,112,137
529,529,1078,47,5,General,Dresses,Dresses,17,28
530,530,984,61,5,General,Jackets,Jackets,354,137
531,531,850,52,5,General,Tops,Blouses,43,84
532,532,833,56,3,General,Tops,Blouses,166,75
533,533,1078,68,3,General,Dresses,Dresses,71,28
534,534,850,39,5,General,Tops,Blouses,114,84
535,535,1081,40,4,General Petite,Dresses,Dresses,355,31
536,536,984,53,5,General,Jackets,Jackets,356,137
537,537,850,45,5,General,Tops,Blouses,357,84
538,538,850,28,4,General,Tops,Blouses,207,84
539,539,1104,33,5,General,Dresses,Dresses,336,50
540,540,1078,71,5,General,Dresses,Dresses,358,28
541,541,984,46,5,General,Jackets,Jackets,359,137
542,542,984,56,5,General,Jackets,Jackets,321,137
543,543,1078,36,4,General,Dresses,Dresses,221,28
544,544,1104,35,5,General,Dresses,Dresses,304,50
545,545,984,58,5,General,Jackets,Jackets,323,137
546,546,1078,53,5,General,Dresses,Dresses,8,28
547,547,984,64,5,General,Jackets,Jackets,360,137
548,548,833,45,3,General,Tops,Blouses,357,75
549,549,850,44,5,General,Tops,Blouses,209,84
550,550,1078,52,3,General,Dresses,Dresses,173,28
551,551,1078,49,2,General,Dresses,Dresses,5,28
552,552,984,52,5,General,Jackets,Jackets,106,137
553,553,850,56,4,General,Tops,Blouses,166,84
554,554,1078,45,5,General,Dresses,Dresses,226,28
555,555,984,35,5,General,Jackets,Jackets,361,137
556,556,831,38,4,General,Tops,Blouses,178,74
557,557,1086,32,4,General,Dresses,Dresses,95,36
558,558,1044,39,5,General Petite,Bottoms,Pants,362,9
559,559,820,32,4,General,Tops,Blouses,206,65
560,560,1094,35,5,General,Dresses,Dresses,304,43
561,561,1094,34,5,General,Dresses,Dresses,1,43
562,562,995,48,5,General,Bottoms,Skirts,363,141
563,563,1094,36,4,General,Dresses,Dresses,221,43
564,564,1060,40,5,General,Bottoms,Pants,364,19
565,565,833,47,1,General,Tops,Blouses,4,75
566,566,1037,41,4,General Petite,Bottoms,Jeans,365,7
567,567,875,33,5,General,Tops,Knits,45,102
568,568,875,33,4,General,Tops,Knits,45,102
569,569,820,39,5,General,Tops,Blouses,114,65
570,570,1037,54,4,General Petite,Bottoms,Jeans,366,7
571,571,820,44,4,General,Tops,Blouses,209,65
572,572,1037,39,5,General,Bottoms,Jeans,187,7
573,573,820,24,5,General,Tops,Blouses,78,65
574,574,833,65,1,General,Tops,Blouses,281,75
575,575,1094,64,5,General,Dresses,Dresses,367,43
576,576,833,40,5,General,Tops,Blouses,267,75
577,577,995,39,4,General,Bottoms,Skirts,117,141
578,578,1094,42,3,General,Dresses,Dresses,294,43
579,579,875,34,2,General,Tops,Knits,368,102
580,580,1037,38,3,General,Bottoms,Jeans,183,7
581,581,875,29,2,General,Tops,Knits,369,102
582,582,833,49,3,General,Tops,Blouses,370,75
583,583,1060,39,3,General,Bottoms,Pants,371,19
584,584,1094,48,4,General,Dresses,Dresses,372,43
585,585,835,66,5,General,Tops,Blouses,91,77
586,586,1094,25,4,General,Dresses,Dresses,214,43
587,587,1094,36,4,General,Dresses,Dresses,221,43
588,588,875,46,2,General,Tops,Knits,46,102
589,589,823,37,5,General,Tops,Blouses,99,67
590,590,835,42,5,General,Tops,Blouses,277,77
591,591,833,26,4,General,Tops,Blouses,373,75
592,592,833,33,5,General,Tops,Blouses,18,75
593,593,820,52,5,General,Tops,Blouses,43,65
594,594,835,41,5,General,Tops,Blouses,15,77
595,595,1060,25,5,General,Bottoms,Pants,374,19
596,596,1037,47,3,General,Bottoms,Jeans,375,7
597,597,820,24,4,General,Tops,Blouses,78,65
598,598,1079,32,3,General,Dresses,Dresses,95,29
599,599,1060,44,4,General,Bottoms,Pants,376,19
600,600,875,66,5,General,Tops,Knits,50,102
601,601,835,64,5,General,Tops,Blouses,176,77
602,602,1078,39,5,General Petite,Dresses,Dresses,9,28
603,603,1037,42,1,General,Bottoms,Jeans,377,7
